round,source,organization,amount_usd,receiving_charity,purpose,note,year
2023/h2,,Lantern Bioworks,72000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $72,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Legal Priorities Project,302900.0,"Legal Priorities, Inc.",General Support,"Amount (Jaan Tallinn via LSG): $302,900 ($199,900)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Leveraging ESG for AIS,30056.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $30,056 ($30,056)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Levoso Algorithm Interpretability,86000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $86,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Lightcone Infrastructure,410000.0,Center for Applied Rationality,General Support of Lightcone Infrastructure,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $410,000 ($250,000)† | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,LLM Safety Research,44000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $44,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Long-Term Future Fund,761659.0,Effective Ventures Foundation USA,General Support of Long-Term Future Fund,"Amount (Jaan Tallinn via LSG): $197,659 ($69,600)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $564,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Marks Runway Crowdfunding,13300.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $13,300 ($8,300)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Massachusetts Institute of Technology (Tegmark group),223000.0,Massachusetts Institute of Technology,General Support,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $223,000 ($1,000,000)§ | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,MATS London Ltd,282300.0,Berkeley Existential Risk Initiative,General Support of MATS London Ltd,"Amount (Jaan Tallinn via LSG): $282,300 ($185,300)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Miles AI Safety Info,97000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $97,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Monson Energy Surface Extraction,62800.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $62,800 ($40,800)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Nabeshima Interpretability Study,88900.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $88,900 ($69,900)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Newberry Bostrom Assistant Hire,59200.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $59,200 ($57,200)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
