grant_id,post_id,award_date,award_year,organization,title,amount_usd,focus_areas,funding_type,url
grants-1965-0,1965,2019-01-03,2019,Living Goods,General Support,100000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/living-goods-general-support-january-2019/
grants-1968-0,1968,2019-01-03,2019,Iodine Global Network,General Support,100000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/iodine-global-network-general-support-january-2019/
grants-1937-0,1937,2019-01-04,2019,Compassion Over Killing,Farm Animal Welfare Outreach and Investigations (Exit Grant),250000.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/compassion-over-killing-exit-grant/
grants-1982-0,1982,2019-01-10,2019,Sightsavers,Deworming Programs,9700000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/sightsavers-deworming-programs-january-2019/
grants-1988-0,1988,2019-01-10,2019,Berkeley Existential Risk Initiative,CHAI ML Engineers,250000.0,Navigating Transformative AI,Grants,https://coefficientgiving.org/grants/berkeley-existential-risk-initiative-chai-ml-engineers/
grants-1907-0,1907,2019-01-14,2019,Farm Forward,Higher-welfare Commitments (Exit Grant),166000.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/farm-forward-exit-grant/
grants-2000-0,2000,2019-01-14,2019,Center for Global Development,Gene Drive Research,348550.0,Infectious Diseases; Science and Global Health R&D; Transformative Science,Grants,https://coefficientgiving.org/grants/center-for-global-development-gene-drive-research/
grants-1807-0,1807,2019-01-17,2019,Cynthia Schuck & Wladimir Alonso,DALY Project (Contract),100000.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/cynthia-schuck-wladimir-alonso-daly-project-2019/
grants-1998-0,1998,2019-01-17,2019,"University of California, Berkeley",Alternative Meats Lab,131579.0,Alternatives to Animal Products; Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/uc-berkeley-alternative-meats-lab-january-2019/
grants-1915-0,1915,2019-01-18,2019,Mercy For Animals,Broiler Welfare Campaigns,261000.0,Broiler Chicken Welfare; Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/mercy-for-animals-broiler-welfare-campaigns/
grants-1905-0,1905,2019-01-23,2019,Royal Veterinary College,Halal Poultry Slaughter Research,130850.0,Broiler Chicken Welfare; Farm Animal Welfare; Farm Animal Welfare in Europe,Grants,https://coefficientgiving.org/grants/royal-veterinary-college-halal-poultry-slaughter-research/
grants-1933-0,1933,2019-01-23,2019,The Humane League,Broiler Welfare Campaigns,750000.0,Broiler Chicken Welfare; Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/the-humane-league-broiler-welfare-campaigns/
